Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
KCNK15	"dJ781B1.1, K2p15.1, KCNK11, KCNK14, KIAA0237, KT3.3, TASK-5, TASK5"	ENSG00000124249	"Potassium two pore domain channel subfamily K member 15"	Q9H427	20	44745865-44752313	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in many"	4	"Mesothelial cells: 43.8;Secretory cells: 104.5"	"Cell type enhanced"	"Detected in some"		"mammillary body: 4.6"	"Cancer enriched"	"Detected in many"	5	"Ovary Serous Cystadenocarcinoma (TCGA): 64.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adrenal gland - Neutrophils"	"Region enriched"	"Detected in single"	18	"olfactory bulb: 6.8"	"Region enriched"	"Detected in single"	8	"olfactory bulb: 5.1"	HPA064861	Uncertain						NA	NA				"Cluster 74: Spermatids - Flagellum assembly"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 37: Glandular & Luminal cells - Unknown function"				"HPA064861: AB_2685373"	"unprognostic (1.58e-1)"	"unprognostic (9.31e-2)"	"unprognostic (1.28e-1)"	"unprognostic (4.63e-3)"		"unprognostic (8.06e-3)"				"unprognostic (1.22e-1)"			"unprognostic (4.74e-2)"			"unprognostic (2.52e-1)"				"potential prognostic unfavorable (9.35e-4)"	"unprognostic (3.32e-3)"	"unprognostic (7.15e-2)"	"unprognostic (1.52e-1)"	"unprognostic (9.72e-2)"			"unprognostic (1.03e-1)"	"unprognostic (1.15e-1)"		"unprognostic (6.22e-3)"	"unprognostic (1.43e-1)"
KCNK16	"K2p16.1, TALK-1, TALK1"	ENSG00000095981	"Potassium two pore domain channel subfamily K member 16"	Q96T55	6	39314698-39322968	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	5	"pancreas: 22.9;stomach 1: 10.1"	"Cell type enriched"	"Detected in some"	11	"Pancreatic endocrine cells: 13.6"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	16	"Pancreatic Adenocarcinoma (TCGA): 29.2"	"Not detected"	"Not detected"			"Immune cell enriched"	"Detected in single"	10	"basophil: 2.1"	"Lineage enriched"	"Detected in single"	10	"granulocytes: 2.1"	"Cancer enriched"	"Detected in some"	5	"thyroid cancer: 10.8"	"Pancreas - Alpha cells, Pancreas - Beta cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 15: Pancreas - Proteolysis"		"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 20: Enteroendocrine cells - Hormone signaling"	1																									"unprognostic (3.28e-2)"	"unprognostic (3.27e-1)"							"unprognostic (3.34e-1)"	
KCNK17	"K2p17.1, TALK-2, TALK2, TASK-4, TASK4"	ENSG00000124780	"Potassium two pore domain channel subfamily K member 17"	Q96T54	6	39299001-39314461	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lung: 7.5;thyroid gland: 6.3"	"Cell type enhanced"	"Detected in some"		"dendritic cells: 35.1;Microglial cells: 17.0;Pancreatic endocrine cells: 18.7;Smooth muscle cells: 6.6"	"Cell type enriched"	"Detected in some"	21	"fibroblast: 115.2"	"Cancer enhanced"	"Detected in many"		"Thyroid Carcinoma (TCGA): 4.2"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in some"	34	"plasmacytoid DC: 63.9"	"Lineage enriched"	"Detected in many"	34	"dendritic cells: 63.9"	"Cancer enhanced"	"Detected in some"		"Leukemia: 5.6;thyroid cancer: 3.4"	"Colon - Colon enteroendocrine cells"					"Not detected"	"Not detected"			HPA043892	Uncertain		Approved	"Nucleoplasm,Plasma membrane,Cytosol"			NA	NA			"Cluster 8: Plasmacytoid DCs - Unknown function"	"Cluster 7: Adipose tissue - Mixed function"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 28: Dendritic cells - Antigen presentation"		"Plasma membrane, Cytosol"	Nucleoplasm	"HPA043892: AB_10962838"		"unprognostic (1.22e-2)"	"unprognostic (2.36e-1)"								"potential prognostic unfavorable (1.22e-4)"	"unprognostic (2.30e-2)"			"potential prognostic favorable (4.33e-4)"	"potential prognostic favorable (4.67e-5)"	"unprognostic (2.58e-1)"	"unprognostic (2.76e-2)"	"unprognostic (2.08e-2)"			"unprognostic (8.90e-3)"	"unprognostic (7.89e-2)"			"unprognostic (3.70e-2)"				"unprognostic (2.14e-1)"	"unprognostic (1.35e-1)"
KCNK18	"K2p18.1, TRESK, TRESK-2, TRESK2, TRIK"	ENSG00000186795	"Potassium two pore domain channel subfamily K member 18"	Q7Z418	10	117197489-117210299	"Disease related genes, Potential drug targets, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	7	"choroid plexus: 2.9;hypothalamus: 1.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"							HPA044739	Uncertain						NA	NA					"Cluster 36: Choroid plexus - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 11: Late spermatids - Unknown function"				"HPA044739: AB_10795008"																															
KCNK2	"K2p2.1, TREK-1"	ENSG00000082482	"Potassium two pore domain channel subfamily K member 2"	O95069	1	215005775-215237090	"FDA approved drug targets, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	6	"adrenal gland: 51.4"	"Group enriched"	"Detected in some"	10	"Excitatory neurons: 19.0;Inhibitory neurons: 51.6;Microglial cells: 28.6;Oligodendrocyte precursor cells: 42.9"	"Cell type enriched"	"Detected in many"	4	"fibroblast: 583.5"	"Cancer enhanced"	"Detected in many"		"Breast Invasive Carcinoma (TCGA): 5.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 13.3"	"Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 26: Adrenal gland - Steroid metabolism"	"Cluster 33: Neurons - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 69: Neurons - Neuronal signaling"						"unprognostic (3.26e-2)"	"unprognostic (4.77e-2)"				"unprognostic (8.84e-2)"	"unprognostic (6.62e-3)"			"unprognostic (9.11e-2)"	"unprognostic (2.91e-1)"						"unprognostic (1.85e-2)"	"unprognostic (1.41e-1)"	"unprognostic (2.72e-2)"	"unprognostic (3.14e-1)"	"unprognostic (4.35e-2)"	"unprognostic (1.87e-2)"				"unprognostic (1.70e-3)"			"unprognostic (1.20e-2)"	"unprognostic (3.75e-3)"
KCNK3	"K2p3.1, TASK, TASK-1, TASK1"	ENSG00000171303	"Potassium two pore domain channel subfamily K member 3"	O14649	2	26692722-26733420	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"adrenal gland: 170.2"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 67.1;Collecting duct cells: 103.1;Enteroendocrine cells: 28.1;Exocrine glandular cells: 78.8;Smooth muscle cells: 30.4"	"Cell type enhanced"	"Detected in many"		"midbrain-derived inhibitory: 48.5;pericyte: 66.0"	"Cancer enhanced"	"Detected in many"		"Kidney Renal Clear Cell Carcinoma (TCGA): 21.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Kidney cancer: 11.5;thyroid cancer: 10.3"	"Adrenal gland - Adrenal cortex cells, Pituitary gland - Gonadotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 26: Adrenal gland - Steroid metabolism"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 48: Smooth muscle cells - Signal transduction"	5				"unprognostic (1.86e-2)"	"unprognostic (4.01e-3)"	"unprognostic (1.57e-2)"	"unprognostic (1.69e-2)"			"unprognostic (2.60e-1)"	"potential prognostic favorable (1.28e-5)"			"unprognostic (5.89e-3)"	"potential prognostic favorable (8.89e-4)"	"potential prognostic unfavorable (3.10e-4)"			"unprognostic (1.71e-3)"	"unprognostic (4.28e-2)"	"unprognostic (3.53e-3)"	"unprognostic (5.04e-2)"	"unprognostic (1.22e-1)"		"unprognostic (3.62e-2)"	"unprognostic (1.57e-1)"	"unprognostic (9.26e-3)"		"unprognostic (3.17e-1)"		"unprognostic (2.99e-2)"	"unprognostic (1.82e-1)"	"unprognostic (1.43e-2)"	"unprognostic (4.57e-2)"
KCNK4	"K2p4.1, TRAAK"	ENSG00000182450	"Potassium two pore domain channel subfamily K member 4"	Q9NYG8	11	64291302-64300031	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	55	"brain: 13.4"	"Group enriched"	"Detected in some"	5	"Astrocytes: 2.8;Excitatory neurons: 8.7;Inhibitory neurons: 2.3"	"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 34: Neurons - Neuronal signaling"																																			
KCNK5	"K2p5.1, TASK-2, TASK2"	ENSG00000164626	"Potassium two pore domain channel subfamily K member 5"	O95279	6	39188971-39229475	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 34.4;kidney: 36.2"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 53.4;Cytotrophoblasts: 28.2;Distal enterocytes: 43.4;Proximal enterocytes: 55.6;Salivary duct cells: 34.9;Syncytiotrophoblasts: 40.5"	"Cell type enhanced"	"Detected in some"		"fibroblast: 1.5;leukocyte: 1.7"	"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose visceral - Mesothelial cells, Kidney - Proximal tubular cells, Lung - Alveolar cells type 2, Minor Salivary Gland - Minor salivary gland ductal cells, Skin - Eccrine sweat gland cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA059148	Uncertain		Approved	Nucleoplasm			NA	NA				"Cluster 55: Kidney & Intestine - Metabolism"		"Cluster 47: Leukemia - Hemostasis"	"Cluster 5: Enterocytes - Absorption"	24	Nucleoplasm		"HPA059148: AB_2683929"	"unprognostic (6.36e-2)"	"unprognostic (1.60e-1)"	"unprognostic (5.09e-2)"	"unprognostic (6.22e-2)"	"unprognostic (4.83e-2)"	"unprognostic (1.65e-1)"		"unprognostic (3.95e-3)"	"unprognostic (1.40e-2)"	"unprognostic (5.17e-3)"	"validated prognostic favorable (3.54e-9)"	"validated prognostic favorable (1.63e-10)"	"unprognostic (1.11e-3)"	"unprognostic (2.60e-1)"	"unprognostic (8.58e-2)"	"unprognostic (3.71e-3)"	"unprognostic (2.01e-2)"	"unprognostic (6.64e-3)"	"unprognostic (1.63e-1)"	"unprognostic (1.81e-1)"	"unprognostic (3.88e-1)"	"potential prognostic unfavorable (6.49e-4)"	"unprognostic (1.95e-2)"	"unprognostic (1.88e-1)"	"unprognostic (4.83e-3)"	"unprognostic (8.57e-2)"	"unprognostic (6.47e-2)"	"unprognostic (2.66e-1)"	"unprognostic (1.90e-1)"	"unprognostic (7.56e-2)"	"unprognostic (2.90e-2)"
KCNK6	"K2p6.1, TWIK-2"	ENSG00000099337	"Potassium two pore domain channel subfamily K member 6"	Q9Y257	19	38319845-38332076	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Langerhans cells: 130.8;Suprabasal keratinocytes: 138.0"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 46.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 26.2"	"Group enriched"	"Detected in many"	6	"dendritic cells: 11.3;granulocytes: 26.2;monocytes: 7.2"	"Low cancer specificity"	"Detected in many"			"Adrenal gland - Endothelial cells, Spleen - Fibroblast_1"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"CAB022637, HPA040184"	Approved		Approved	"Plasma membrane,Actin filaments,Cytosol"			NA	NA			"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 6: Non-specific - Immune response"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 12: Squamous epithelial cells - Keratinization"		"Plasma membrane, Cytosol"	"Actin filaments"	"CAB022637: , HPA040184: AB_2676876"	"unprognostic (1.80e-2)"	"unprognostic (6.67e-3)"	"unprognostic (1.56e-1)"	"unprognostic (1.96e-1)"	"unprognostic (2.07e-1)"	"unprognostic (2.67e-1)"	"unprognostic (1.30e-1)"	"unprognostic (2.08e-1)"	"unprognostic (7.08e-2)"	"unprognostic (9.60e-2)"	"unprognostic (1.10e-2)"	"unprognostic (4.02e-1)"	"unprognostic (1.57e-1)"	"unprognostic (1.11e-1)"	"unprognostic (6.18e-2)"	"unprognostic (2.14e-3)"	"unprognostic (1.48e-1)"	"unprognostic (2.84e-1)"	"unprognostic (2.49e-1)"	"unprognostic (3.25e-1)"	"unprognostic (2.11e-2)"	"unprognostic (4.33e-3)"	"unprognostic (3.32e-2)"	"unprognostic (2.94e-1)"	"unprognostic (3.76e-1)"	"unprognostic (7.38e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.48e-2)"	"unprognostic (4.31e-1)"	"unprognostic (1.24e-1)"	"unprognostic (8.16e-3)"
KCNK7	K2p7.1	ENSG00000173338	"Potassium two pore domain channel subfamily K member 7"	Q9Y2U2	11	65592836-65595996	"Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	5	"skin 1: 87.3"	"Cell type enriched"	"Detected in some"	5	"Suprabasal keratinocytes: 128.1"	"Low cell type specificity"	"Detected in some"			"Cancer enhanced"	"Detected in many"		"Head and Neck Squamous Cell Carcinoma (TCGA): 11.3"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	15	"basophil: 2.1;naive B-cell: 2.2;neutrophil: 1.5"	"Group enriched"	"Detected in many"	16	"B-cells: 2.2;granulocytes: 2.1"	"Cancer enhanced"	"Detected in some"		"Esophageal cancer: 2.9"	"Minor Salivary Gland - Minor salivary gland basal cells, Skin - Keratinocyte (other)"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			HPA077577			Approved	"Plasma membrane"			NA	NA			"Cluster 41: Basophils - Unknown function"	"Cluster 13: Skin - Cornification"	"Cluster 6: Non-specific - Immune response"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 59: Suprabasal keratinocytes - Cornification"		"Plasma membrane"		"HPA077577: AB_2686845"	"unprognostic (4.82e-3)"		"unprognostic (1.01e-1)"	"unprognostic (8.86e-2)"			"unprognostic (3.91e-2)"		"unprognostic (1.82e-1)"				"unprognostic (1.22e-1)"					"unprognostic (4.75e-2)"				"unprognostic (9.01e-2)"			"unprognostic (3.42e-3)"		"unprognostic (2.68e-1)"				"unprognostic (5.68e-2)"
KCNK9	"K2p9.1, TASK-3, TASK3"	ENSG00000169427	"Potassium two pore domain channel subfamily K member 9"	Q9NPC2	8	139600838-139704109	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel"	"Disease variant, FDA approved drug targets, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"brain: 9.2"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 15.4;Horizontal cells: 10.7;Inhibitory neurons: 7.6;Late spermatids: 9.2;Oocytes: 51.5"	"Cell type enhanced"	"Detected in many"		"mammillary body: 53.4;upper rhombic lip: 107.4"	"Cancer enriched"	"Detected in single"	5	"Kidney Renal Clear Cell Carcinoma (TCGA): 2.8"	"Region enhanced"	"Detected in many"		"cerebellum: 19.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Neuroblastoma: 1.1;thyroid cancer: 1.6"	"Pituitary gland - Corticotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA075842			Approved	"Plasma membrane"			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 44: Oocytes - Unknown function"		"Plasma membrane"		"HPA075842: "								"unprognostic (2.64e-2)"			"unprognostic (5.11e-3)"	"unprognostic (1.34e-1)"									"unprognostic (2.85e-1)"		"unprognostic (1.91e-1)"								
KCNMA1	"KCa1.1, mSLO1, SLO"	ENSG00000156113	"Potassium calcium-activated channel subfamily M alpha 1"	Q12791	10	76869601-77638369	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Potassium transport, Transport"	"Ion channel, Potassium channel, Voltage-gated channel"	"Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"endometrium 1: 134.1"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 446.8;Bipolar cells: 485.5;Excitatory neurons: 989.5;Inhibitory neurons: 610.3;Oligodendrocyte precursor cells: 664.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"intermediate monocyte: 2.5;non-classical monocyte: 1.7"	"Lineage enhanced"	"Detected in single"		"monocytes: 2.5"	"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Adipose visceral - Smooth muscle cells, Heart muscle - Smooth muscle cells, Prostate - Smooth muscle cells, Spleen - Macrophages, Testis - Early spermatids, Testis - Late spermatids, Thyroid gland - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA054648	Approved						NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 34: Neurons - Neuronal signaling"	2			"HPA054648: AB_2682556"	"unprognostic (3.41e-2)"	"unprognostic (8.13e-2)"	"unprognostic (2.04e-1)"	"unprognostic (4.61e-2)"	"unprognostic (1.11e-1)"	"unprognostic (2.12e-1)"	"unprognostic (1.00e-1)"	"unprognostic (1.54e-1)"	"unprognostic (4.35e-1)"	"unprognostic (4.26e-1)"	"potential prognostic favorable (7.57e-5)"	"unprognostic (2.38e-2)"	"unprognostic (8.94e-2)"	"unprognostic (5.27e-1)"	"unprognostic (5.40e-3)"	"potential prognostic favorable (7.51e-4)"	"unprognostic (2.54e-1)"	"unprognostic (2.08e-1)"	"unprognostic (7.68e-2)"	"unprognostic (9.29e-2)"	"potential prognostic unfavorable (6.61e-4)"	"unprognostic (2.06e-3)"	"unprognostic (1.26e-2)"	"unprognostic (4.84e-2)"	"unprognostic (2.09e-2)"	"unprognostic (1.18e-1)"	"unprognostic (2.07e-1)"	"unprognostic (1.09e-2)"	"unprognostic (2.16e-2)"	"unprognostic (1.41e-1)"	"unprognostic (6.05e-2)"
KCNN1	"hSK1, KCa2.1"	ENSG00000105642	"Potassium calcium-activated channel subfamily N member 1"	Q92952	19	17951293-18000085	"FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Ion transport, Transport"	"Calmodulin-binding, Ion channel"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	49	"brain: 106.5"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 12.4;Langerhans cells: 18.1"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Testicular Germ Cell Tumor (TCGA): 7.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Bone cancer: 16.2"	"Pituitary gland - Undifferentiated cells (Pituitary gland), Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA065938			Approved	"Actin filaments,Cytosol"			Yes	No				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 28: Dendritic cells - Antigen presentation"		"Actin filaments, Cytosol"		"HPA065938: AB_2685582"			"unprognostic (7.84e-2)"				"unprognostic (2.36e-1)"	"unprognostic (4.00e-1)"		"unprognostic (1.00e-2)"	"unprognostic (6.57e-3)"	"unprognostic (7.98e-2)"	"unprognostic (2.80e-1)"							"unprognostic (2.47e-1)"									"unprognostic (1.62e-1)"		"unprognostic (2.95e-1)"
