Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
IGHG2		ENSG00000211893	"Immunoglobulin heavy constant gamma 2 (G2m marker)"	P01859	14	105639559-105644790	"FDA approved drug targets, Immunoglobulin genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Adaptive immunity, Immunity"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 189.5;urinary bladder: 108.3"	"Cell type enriched"	"Detected in some"	11	"Plasma cells: 4935.4"	"Cell type enriched"	"Detected in single"	11	"leukocyte: 4.6"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	460	"memory B-cell: 344.6;naive B-cell: 128.5"	"Lineage enriched"	"Detected in single"	670	"B-cells: 344.6"	"Group enriched"	"Detected in some"	9	"lymphoma: 19.2;Myeloma: 54.1"	"Adipose subcutaneous - Plasma cells, Adipose visceral - Plasma cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Liver - Plasma cells, Lung - Plasma cells, Minor Salivary Gland - Plasma cells, Pancreas - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells, Stomach - Plasma cells, Thyroid gland - Plasma cells"									HPA001245	Approved				"Immunoglobulin genes"	Immunity	NA	NA		260000000000	"Cluster 17: B-cells - Immunoglobulins"		"Cluster 8: Immune cells - Immune response"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 77: Plasma cells - Protein processing"	28			"HPA001245: AB_1079121"	"unprognostic (9.17e-3)"	"unprognostic (1.01e-1)"		"potential prognostic favorable (3.62e-5)"	"unprognostic (3.20e-1)"	"unprognostic (8.89e-2)"	"unprognostic (2.85e-3)"	"unprognostic (1.78e-3)"	"potential prognostic favorable (8.19e-5)"	"unprognostic (2.87e-2)"	"potential prognostic unfavorable (3.60e-4)"	"unprognostic (6.22e-3)"	"unprognostic (1.44e-2)"	"unprognostic (4.10e-2)"		"unprognostic (3.87e-2)"	"unprognostic (1.22e-1)"	"unprognostic (5.76e-2)"	"unprognostic (2.21e-2)"	"unprognostic (6.18e-2)"	"unprognostic (3.02e-1)"	"unprognostic (4.52e-1)"	"unprognostic (1.15e-2)"	"unprognostic (2.27e-2)"	"unprognostic (8.39e-2)"	"unprognostic (3.90e-3)"	"unprognostic (8.31e-2)"	"unprognostic (2.96e-1)"	"unprognostic (3.81e-1)"	"unprognostic (1.24e-1)"	"unprognostic (4.65e-2)"
IGHG4		ENSG00000211892	"Immunoglobulin heavy constant gamma 4 (G4m marker)"	P01861	14	105620506-105626066	"FDA approved drug targets, Immunoglobulin genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"	"Adaptive immunity, Immunity"		"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	4	"lymphoid tissue: 2402.4"	"Group enriched"	"Detected in some"	4	"B-cells: 423.0;Plasma cells: 595.5"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in some"			"Group enriched"	"Detected in some"	457	"memory B-cell: 123.0;naive B-cell: 74.3"	"Lineage enriched"	"Detected in single"	569	"B-cells: 123.0"	"Group enriched"	"Detected in some"	43	"lymphoma: 133.6;Myeloma: 34.1"	"Adipose subcutaneous - Plasma cells, Adipose visceral - Mesothelial cells, Adrenal gland - Plasma cells, Breast - Plasma cells, Colon - Plasma cells, Heart muscle - Plasma cells, Kidney - Plasma cells, Lung - Plasma cells, Pituitary gland - Plasma cells, Prostate - Plasma cells, Skeletal muscle - Plasma cells, Skin - Plasma cells, Spleen - Plasma cells"									HPA001245	Approved				"Immunoglobulin genes"	Immunity	NA	NA		170000000000	"Cluster 17: B-cells - Immunoglobulins"		"Cluster 43: Hindbrain - Mixed function"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 77: Plasma cells - Protein processing"	20			"HPA001245: AB_1079121"	"unprognostic (3.88e-2)"	"unprognostic (4.37e-3)"		"unprognostic (5.42e-2)"	"unprognostic (1.05e-1)"	"unprognostic (4.47e-1)"	"unprognostic (3.18e-3)"	"unprognostic (5.65e-2)"	"potential prognostic favorable (6.88e-4)"	"unprognostic (2.10e-1)"	"unprognostic (1.11e-3)"	"unprognostic (1.31e-2)"	"potential prognostic unfavorable (6.78e-5)"	"unprognostic (3.95e-1)"		"unprognostic (6.49e-3)"	"unprognostic (9.67e-2)"	"unprognostic (2.31e-1)"	"unprognostic (1.34e-1)"	"unprognostic (1.36e-1)"	"unprognostic (2.57e-1)"	"unprognostic (4.76e-2)"	"unprognostic (7.83e-3)"	"unprognostic (1.12e-1)"	"unprognostic (5.38e-2)"	"potential prognostic favorable (4.51e-6)"	"unprognostic (2.15e-1)"	"unprognostic (1.12e-1)"	"unprognostic (1.23e-1)"	"unprognostic (6.43e-2)"	"unprognostic (3.77e-1)"
IL11RA		ENSG00000137070	"Interleukin 11 receptor subunit alpha"	Q14626	9	34652162-34661902	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins"		Receptor	"Craniosynostosis, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 49.2;Late spermatids: 98.4;Sertoli cells: 40.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 14.6"	"Adipose subcutaneous - Adipose progenitor cells, Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Thyroid gland - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA013162, CAB032830, HPA036652, HPA036653"	Supported		Approved	"Vesicles,Plasma membrane"	"Secreted to blood"	Receptor	NA	NA			"Cluster 5: Non-specific - Cell proliferation"	"Cluster 66: Non-specific - Transcription"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 53: Fibroblasts - ECM organization"	1	"Vesicles, Plasma membrane"		"CAB032830: AB_2123745, HPA013162: AB_2668790, HPA036652: AB_2675229, HPA036653: "	"unprognostic (1.71e-1)"	"unprognostic (1.91e-1)"	"unprognostic (5.88e-2)"	"unprognostic (2.81e-2)"	"unprognostic (2.32e-2)"	"unprognostic (1.49e-2)"	"unprognostic (9.19e-2)"	"unprognostic (8.27e-2)"	"unprognostic (2.77e-2)"	"potential prognostic unfavorable (5.81e-5)"	"unprognostic (3.87e-2)"	"unprognostic (1.65e-1)"	"unprognostic (2.57e-2)"	"unprognostic (8.82e-2)"	"unprognostic (5.17e-3)"	"unprognostic (1.38e-3)"	"unprognostic (6.81e-2)"	"unprognostic (1.22e-1)"	"unprognostic (3.02e-2)"	"unprognostic (3.19e-1)"	"unprognostic (1.69e-2)"	"potential prognostic favorable (9.36e-4)"	"unprognostic (2.85e-2)"	"unprognostic (2.18e-1)"	"unprognostic (1.96e-1)"	"unprognostic (2.22e-2)"	"unprognostic (1.00e-1)"	"unprognostic (3.32e-1)"	"unprognostic (1.58e-1)"	"unprognostic (1.95e-2)"	"unprognostic (5.60e-2)"
IL12B	"CLMF, CLMF2, IL-12B, NKSF, NKSF2"	ENSG00000113302	"Interleukin 12B"	P29460	5	159314780-159330863	"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"		Cytokine	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"lymphoid tissue: 1.3"	"Cell type enriched"	"Detected in single"	4	"Langerhans cells: 2.0"	"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	5	"Testicular Germ Cell Tumor (TCGA): 5.8"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	13	"lymphoma: 4.0"	"Minor Salivary Gland - Minor salivary gland ductal cells, Pituitary gland - Somatotropes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA040970	Supported				"Secreted to blood"	Interleukin	NA	NA	140000			"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 48: Non-specific - Mixed function"	"Cluster 55: Lymphoma - Immune response"	"Cluster 14: Langerhans cells - Innate immune response"	4			"HPA040970: AB_10796234"			"unprognostic (6.32e-2)"							"unprognostic (9.15e-2)"																			"unprognostic (6.01e-2)"		
IL13	"ALRH, BHR1, IL-13, MGC116786, MGC116788, MGC116789, P600"	ENSG00000169194	"Interleukin 13"	P35225	5	132656263-132661110	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"		Cytokine	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	44	"testis: 23.6"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 103.1;granulocytes: 122.5;Late spermatids: 199.5;Spermatocytes: 35.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	45	"lymphoma: 4.8"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted to blood"	Interleukin	NA	NA	40000			"Cluster 32: Endocrine & Neural - Unknown function"		"Cluster 59: Leukemia - T-cell receptor"	"Cluster 36: Late spermatids - Unknown function"	10																																		
IL17A	"CTLA8, IL-17, IL-17A, IL17"	ENSG00000112115	"Interleukin 17A"	Q16552	6	52186375-52190638	"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins"	"Adaptive immunity, Immunity, Inflammatory response, Innate immunity"	Cytokine	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"lymphoid tissue: 1.4"	"Cell type enriched"	"Detected in some"	10	"T-cells: 23.2"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA052258	Uncertain				"Secreted to blood"	Interleukin	NA	NA	9920			"Cluster 36: Lymphoid tissue - Cytokine signaling"		"Cluster 20: Myeloma - Immune response"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	5			"HPA052258: "																															
IL17F	"IL-17F, ML-1, ML1"	ENSG00000112116	"Interleukin 17F"	Q96PD4	6	52236681-52245689	"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted secreted proteins"	"Adaptive immunity, Immunity, Inflammatory response, Innate immunity"	Cytokine	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"lymphoid tissue: 2.1"	"Cell type enriched"	"Detected in single"	6	"T-cells: 4.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	85	"lymphoma: 18.6"	"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted to blood"	Interleukin	NA	NA	30000			"Cluster 36: Lymphoid tissue - Cytokine signaling"		"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	5																																		
IL1B	"IL-1B, IL1-BETA, IL1F2"	ENSG00000125538	"Interleukin 1 beta"	P01584	2	112829751-112836816	"Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters"	"Inflammatory response"	"Cytokine, Mitogen, Pyrogen"	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 198.6;urinary bladder: 121.6"	"Cell type enriched"	"Detected in many"	5	"monocytes: 11738.5"	"Group enriched"	"Detected in some"	39	"central nervous system macrophage: 27.1;leukocyte: 6.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	5	"neutrophil: 94.5"	"Lineage enriched"	"Detected in many"	5	"granulocytes: 94.5"	"Cancer enhanced"	"Detected in many"		"head and neck cancer: 177.9;Sarcoma: 319.5"		"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"								"Secreted to blood"	Interleukin	NA	NA	2330		"Cluster 28: Neutrophils - Unknown function"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 44: Non-specific - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 29: Monocytes - Innate immune response"	7				"unprognostic (2.08e-1)"	"unprognostic (2.39e-2)"	"unprognostic (9.31e-2)"	"potential prognostic unfavorable (5.36e-5)"	"unprognostic (5.84e-3)"	"unprognostic (6.84e-2)"	"unprognostic (4.71e-2)"	"unprognostic (6.12e-2)"	"unprognostic (6.92e-2)"	"unprognostic (1.96e-1)"	"unprognostic (1.36e-1)"	"unprognostic (3.01e-1)"	"unprognostic (3.34e-1)"	"unprognostic (9.36e-3)"	"unprognostic (2.00e-1)"	"unprognostic (2.18e-1)"	"unprognostic (3.93e-3)"	"unprognostic (1.16e-3)"	"unprognostic (3.19e-2)"	"unprognostic (2.24e-2)"	"unprognostic (2.24e-1)"	"unprognostic (5.50e-2)"	"unprognostic (2.52e-2)"	"unprognostic (3.66e-2)"	"unprognostic (2.11e-1)"	"unprognostic (2.33e-2)"	"unprognostic (3.61e-1)"	"unprognostic (2.66e-2)"	"unprognostic (1.79e-1)"	"unprognostic (1.37e-1)"	"unprognostic (2.09e-1)"
IL1R1	"CD121A, D2S1473, IL1R, IL1RA"	ENSG00000115594	"Interleukin 1 receptor type 1"	P14778	2	102064544-102179874	"Cancer-related genes, CD markers, Enzymes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins, Transporters"	"Inflammatory response"	"Hydrolase, Receptor"	"Cancer-related genes, Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 303.4;Glandular and luminal cells: 312.5;Langerhans cells: 221.8;Mesothelial cells: 245.0;Prostatic glandular cells: 291.9"	"Cell type enhanced"	"Detected in many"		"endothelial cell: 312.2;fibroblast: 120.4;pericyte: 102.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.1"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in many"			"Kidney - Endothelial cells, Pituitary gland - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001237, HPA005823, CAB007779, HPA029560"	Approved		Approved	"Nucleoplasm,Vesicles,Plasma membrane,Cytosol"	"Secreted to blood"	Receptor	NA	NA		870000	"Cluster 35: Neutrophils - Protein binding"	"Cluster 62: Connective tissue - ECM organization"	"Cluster 12: Non-specific - Vasculature"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 37: Glandular & Luminal cells - Unknown function"	13	"Nucleoplasm, Vesicles"	"Plasma membrane, Cytosol"	"CAB007779: AB_562073, HPA001237: , HPA005823: AB_2667445, HPA029560: AB_2673094"	"unprognostic (2.65e-2)"	"unprognostic (4.67e-3)"	"unprognostic (2.16e-2)"	"unprognostic (6.26e-2)"	"unprognostic (3.31e-1)"	"unprognostic (2.24e-2)"	"potential prognostic unfavorable (8.74e-4)"	"unprognostic (2.42e-1)"	"unprognostic (7.75e-2)"	"unprognostic (1.04e-2)"	"unprognostic (2.88e-1)"	"unprognostic (1.41e-2)"	"unprognostic (8.22e-3)"	"unprognostic (1.69e-1)"	"unprognostic (6.67e-2)"	"unprognostic (1.07e-1)"	"unprognostic (5.53e-2)"	"unprognostic (1.40e-1)"	"unprognostic (5.45e-2)"	"unprognostic (2.04e-1)"	"unprognostic (5.34e-3)"	"unprognostic (2.02e-2)"	"unprognostic (2.79e-1)"	"unprognostic (4.86e-2)"	"unprognostic (5.11e-2)"	"unprognostic (9.99e-2)"	"unprognostic (3.78e-2)"	"unprognostic (9.79e-3)"	"unprognostic (7.90e-2)"	"unprognostic (6.69e-2)"	"unprognostic (2.78e-1)"
IL23A	"IL-23, IL-23A, IL23P19, P19, SGRF"	ENSG00000110944	"Interleukin 23 subunit alpha"	Q9NPF7	12	56334174-56340410	"FDA approved drug targets, Predicted secreted proteins"	"Antiviral defense, Immunity, Inflammatory response, Innate immunity, Tissue remodeling"	Cytokine	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"urinary bladder: 42.8"	"Cell type enriched"	"Detected in many"	4	"Langerhans cells: 205.4"	"Low cell type specificity"	"Detected in some"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	7	"MAIT T-cell: 14.2;memory B-cell: 19.0;memory CD4 T-cell: 25.8;memory CD8 T-cell: 12.5;naive B-cell: 21.6;naive CD4 T-cell: 28.2;naive CD8 T-cell: 17.7;T-reg: 15.6"	"Group enriched"	"Detected in many"	12	"B-cells: 21.6;T-cells: 28.2"	"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids"	"Region enhanced"	"Detected in some"		"white matter: 3.9"	"Not detected"	"Not detected"			HPA001554	Approved		Approved	Cytosol	"Secreted to blood"	Interleukin	NA	NA	11000		"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 29: Squamous epithelium - Innate immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"	5	Cytosol		"HPA001554: AB_1079135"	"unprognostic (8.92e-2)"	"unprognostic (2.62e-1)"	"unprognostic (1.52e-1)"	"unprognostic (1.82e-1)"	"unprognostic (2.16e-1)"	"unprognostic (2.56e-2)"		"unprognostic (1.11e-1)"	"unprognostic (7.39e-3)"		"potential prognostic unfavorable (7.16e-10)"	"unprognostic (5.04e-3)"	"unprognostic (1.15e-2)"		"unprognostic (1.27e-1)"	"potential prognostic unfavorable (1.30e-4)"	"unprognostic (4.19e-2)"	"unprognostic (1.43e-1)"	"unprognostic (2.69e-1)"	"unprognostic (2.98e-2)"	"unprognostic (1.01e-1)"	"unprognostic (1.05e-1)"	"unprognostic (5.70e-1)"	"unprognostic (1.55e-1)"	"unprognostic (3.80e-1)"	"unprognostic (3.62e-1)"		"unprognostic (8.08e-2)"	"unprognostic (4.35e-2)"	"unprognostic (2.03e-1)"	"unprognostic (1.50e-1)"
IL4	"BCGF-1, BCGF1, BSF1, IL-4, MGC79402"	ENSG00000113520	"Interleukin 4"	P05112	5	132673986-132682678	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"B-cell activation"	"Cytokine, Growth factor"	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in single"		"T-cells: 2.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in single"	862	"basophil: 476.8"	"Lineage enriched"	"Detected in single"	862	"granulocytes: 476.8"	"Cancer enhanced"	"Detected in single"		"lymphoma: 1.8"		"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"HPA072995, CAB078477"	Approved				"Secreted to blood"	Interleukin	NA	NA	13600		"Cluster 46: Basophils - Proteolysis"		"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 50: Lymphoma - Unknown function"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"	3			"CAB078477: AB_417057, HPA072995: AB_2732215"																															
IL4R	CD124	ENSG00000077238	"Interleukin 4 receptor"	P24394	16	27313668-27364778	"Cancer-related genes, CD markers, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"	Immunity	Receptor	"Cancer-related genes, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"B-cells: 71.7;granulocytes: 115.8"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 90.5;endothelial cell: 197.2;vascular associated smooth muscle cell: 79.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"naive B-cell: 77.1"	"Group enriched"	"Detected in all"	5	"B-cells: 77.1;granulocytes: 31.1"	"Cancer enhanced"	"Detected in all"		"Gallbladder cancer: 139.2"	"Adrenal gland - Neutrophils, Kidney - Endothelial cells, Skeletal muscle - Endothelial cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"CAB004451, HPA050124, HPA070380"	Enhanced		Supported	"Nucleoplasm,Plasma membrane,Centriolar satellite"	"Secreted to blood"	Receptor	NA	NA	38500	59000	"Cluster 34: B-cells - Unknown function"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 74: Neutrophils - Degranulation"	12	"Plasma membrane"	"Nucleoplasm, Centriolar satellite"	"CAB004451: AB_626889, HPA050124: AB_2681026, HPA070380: "	"unprognostic (1.22e-2)"	"unprognostic (2.18e-1)"	"unprognostic (2.80e-3)"	"unprognostic (2.44e-3)"	"unprognostic (2.15e-1)"	"unprognostic (6.86e-2)"	"unprognostic (1.02e-2)"	"unprognostic (3.53e-1)"	"unprognostic (6.16e-2)"	"unprognostic (1.86e-1)"	"unprognostic (1.97e-1)"	"unprognostic (8.28e-2)"	"unprognostic (2.76e-1)"	"unprognostic (7.42e-2)"	"potential prognostic favorable (2.13e-4)"	"unprognostic (7.35e-2)"	"unprognostic (2.36e-2)"	"unprognostic (2.99e-3)"	"potential prognostic unfavorable (3.26e-4)"	"unprognostic (4.67e-2)"	"unprognostic (1.67e-1)"	"unprognostic (9.43e-2)"	"unprognostic (1.50e-3)"	"unprognostic (1.59e-1)"	"unprognostic (1.54e-2)"	"unprognostic (2.65e-1)"	"unprognostic (3.40e-1)"	"unprognostic (1.21e-2)"	"unprognostic (2.80e-1)"	"unprognostic (1.69e-1)"	"unprognostic (5.20e-2)"
