Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
GRM7	"GLUR7, GPRC1G, mGlu7, MGLUR7, PPP1R87"	ENSG00000196277	"Glutamate metabotropic receptor 7"	Q14831	3	6770001-7741533	"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"	"Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"	"Cardiomyopathy, Disease variant, Epilepsy, Intellectual disability"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 5.5;parathyroid gland: 4.1"	"Group enriched"	"Detected in some"	15	"Excitatory neurons: 748.5;Inhibitory neurons: 568.5;Oligodendrocyte precursor cells: 1115.9"	"Cell type enhanced"	"Detected in all"		"mammillary body: 3463.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adrenal gland - Adrenal medulla cells, Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA015964			Uncertain	Cytosol			NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 14: Neurons - Synaptic function"	"Cluster 40: Non-specific - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	2	Cytosol		"HPA015964: "								"unprognostic (1.88e-2)"																							
GRM8	"GLUR8, GPRC1H, mGlu8, MGLUR8"	ENSG00000179603	"Glutamate metabotropic receptor 8"	O00222	7	126438598-127253093	"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"	"Sensory transduction"	"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"choroid plexus: 21.0"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 49.4;Excitatory neurons: 100.9;Inhibitory neurons: 128.7;Late spermatids: 76.3;Oligodendrocyte precursor cells: 30.7"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 4988.7;pericyte: 2109.3"	"Group enriched"	"Detected in some"	5	"Colon Adenocarcinoma (TCGA): 5.8;Glioblastoma Multiforme (TCGA): 1.6;Kidney Renal Clear Cell Carcinoma (TCGA): 3.8;Kidney Renal Papillary Cell Carcinoma (TCGA): 3.8;Rectum Adenocarcinoma (TCGA): 6.5"	"Region enriched"	"Detected in all"	4	"choroid plexus: 103.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	4	"Neuroblastoma: 6.5"	"Heart muscle - Cardiomyocytes, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA051481	Uncertain						NA	NA				"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 69: Neurons - Neuronal signaling"				"HPA051481: AB_2681499"			"unprognostic (1.42e-1)"		"unprognostic (2.81e-1)"	"unprognostic (2.08e-2)"	"unprognostic (2.90e-1)"	"unprognostic (1.13e-2)"			"potential prognostic favorable (5.27e-4)"	"unprognostic (1.66e-3)"	"unprognostic (2.06e-1)"				"unprognostic (1.02e-3)"								"unprognostic (3.11e-2)"	"unprognostic (9.43e-2)"					
GRPR	"BB2, BB2R, BRS2"	ENSG00000126010	"Gastrin releasing peptide receptor"	P30550	X	16123565-16153518	"G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	10	"pancreas: 19.6"	"Group enriched"	"Detected in some"	5	"Inhibitory neurons: 6.0;Oocytes: 7.4"	"Group enriched"	"Detected in some"	7	"CGE interneuron: 19.2;LAMP5-LHX6 and Chandelier: 19.3;mammillary body: 7.0"	"Cancer enriched"	"Detected in some"	5	"Breast Invasive Carcinoma (TCGA): 11.7"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"prostate cancer: 12.1;Rhabdoid: 7.9"	"Adrenal gland - Adrenal cortex cells"	"Region enhanced"	"Detected in single"		"hypothalamus: 2.0"	"Low region specificity"	"Detected in all"			HPA069604			Supported	"Plasma membrane"			NA	NA				"Cluster 15: Pancreas - Proteolysis"	"Cluster 14: Neurons - Synaptic function"	"Cluster 3: Rhabdoid - Membrane components"	"Cluster 65: Neurons - Synaptic function"		"Plasma membrane"		"HPA069604: AB_2686158"		"unprognostic (8.22e-2)"	"unprognostic (4.73e-1)"		"unprognostic (1.45e-1)"	"unprognostic (1.15e-1)"		"unprognostic (1.19e-1)"							"unprognostic (4.27e-1)"									"unprognostic (8.23e-2)"	"unprognostic (2.45e-1)"	"unprognostic (1.92e-3)"			"unprognostic (2.40e-1)"		
HCAR1	"FKSG80, GPR104, GPR81, HCA1, LACR1, TA-GPCR"	ENSG00000196917	"Hydroxycarboxylic acid receptor 1"	Q9BXC0	12	122726076-122730844	"G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"breast: 11.1;parathyroid gland: 39.0"	"Cell type enhanced"	"Detected in some"		"Basal prostatic cells: 24.6;Breast glandular cells: 7.5;Breast myoepithelial cells: 4.6;Early spermatids: 8.3;Extravillous trophoblasts: 4.2;Late spermatids: 7.0"	"Cell type enhanced"	"Detected in some"		"fibroblast: 7.4;pericyte: 4.0"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"basophil: 1.7"	"Lineage enriched"	"Detected in single"	4	"granulocytes: 1.7"	"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 16.6"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Breast glandular cells, Lung - Respiratory ciliated cells, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in some"										NA	NA				"Cluster 24: Parathyroid gland - Vesicular transport"	"Cluster 48: Non-specific - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 3: Basal prostatic cells - Lipid metabolism"					"unprognostic (1.27e-1)"	"potential prognostic unfavorable (2.90e-4)"		"unprognostic (4.07e-3)"		"unprognostic (7.86e-2)"				"unprognostic (5.89e-2)"			"unprognostic (4.35e-2)"			"unprognostic (1.02e-1)"	"unprognostic (9.55e-2)"	"unprognostic (3.56e-2)"	"unprognostic (1.59e-1)"	"unprognostic (1.04e-1)"	"unprognostic (1.26e-2)"	"unprognostic (1.82e-2)"	"unprognostic (1.63e-2)"	"unprognostic (1.98e-1)"	"unprognostic (1.16e-1)"	"unprognostic (2.01e-1)"		"unprognostic (1.36e-1)"	"unprognostic (2.26e-1)"	"unprognostic (2.26e-1)"	"unprognostic (5.01e-3)"
HCAR2	"GPR109A, HCA2, HM74A, NIACR1, Puma-g, PUMAG"	ENSG00000182782	"Hydroxycarboxylic acid receptor 2"	Q8TDS4	12	122701293-122703357	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"	Apoptosis	"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 39.7;skin 1: 29.3"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 55.7;Basal prostatic cells: 154.4;Basal respiratory cells: 46.7;Basal squamous epithelial cells: 98.6;Langerhans cells: 141.4;Suprabasal keratinocytes: 65.7"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Head and Neck Squamous Cell Carcinoma (TCGA): 37.6"	"Region enriched"	"Detected in some"	5	"cerebral cortex: 12.1"	"Immune cell enriched"	"Detected in many"	5	"neutrophil: 177.3"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 177.3"	"Cancer enhanced"	"Detected in some"		"Bladder cancer: 21.1;Esophageal cancer: 21.1;head and neck cancer: 40.0"	"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Lung - NK-cells (Lung), Skin - Keratinocyte (other), Testis - Late spermatids"									HPA028660	Approved		Supported	"Cell Junctions"			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 12: Non-specific - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 74: Neutrophils - Degranulation"		"Cell Junctions"		"HPA028660: AB_10602139"	"unprognostic (1.47e-2)"	"unprognostic (3.36e-2)"		"unprognostic (6.83e-2)"	"unprognostic (2.60e-1)"	"unprognostic (3.55e-3)"		"unprognostic (6.03e-2)"	"unprognostic (2.11e-1)"	"unprognostic (3.73e-2)"	"unprognostic (1.91e-3)"	"unprognostic (6.78e-2)"			"unprognostic (2.23e-1)"	"unprognostic (1.61e-2)"	"unprognostic (3.02e-1)"	"unprognostic (3.80e-1)"	"unprognostic (7.52e-2)"			"unprognostic (4.97e-2)"	"unprognostic (5.14e-3)"	"unprognostic (1.36e-1)"	"unprognostic (1.52e-1)"	"unprognostic (7.29e-2)"	"unprognostic (2.25e-1)"	"unprognostic (5.47e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.19e-1)"	
HCAR3	"GPR109B, HCA3, HM74"	ENSG00000255398	"Hydroxycarboxylic acid receptor 3"	P49019	12	122714756-122716811	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 27.1;esophagus: 16.3;lymphoid tissue: 19.2;skin 1: 16.8"	"Cell type enhanced"	"Detected in many"		"Basal keratinocytes: 78.8;Basal prostatic cells: 190.1;Basal respiratory cells: 53.3;Basal squamous epithelial cells: 138.3;Langerhans cells: 71.4;monocytes: 57.9;Squamous epithelial cells: 45.4;Suprabasal keratinocytes: 87.0"	"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"Bladder Urothelial Carcinoma (TCGA): 12.9;Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 13.4;Head and Neck Squamous Cell Carcinoma (TCGA): 16.0;Kidney Chromophobe (TCGA): 4.7;Lung Squamous Cell Carcinoma (TCGA): 10.0"	"Region enriched"	"Detected in some"	5	"cerebral cortex: 10.1"	"Group enriched"	"Detected in many"	6	"basophil: 58.8;neutrophil: 177.8;non-classical monocyte: 84.6"	"Group enriched"	"Detected in many"	50	"granulocytes: 177.8;monocytes: 84.6"	"Cancer enhanced"	"Detected in some"		"Bladder cancer: 7.3;Gallbladder cancer: 6.8;head and neck cancer: 10.4"	"Adipose visceral - Adipocytes (Visceral), Lung - NK-cells (Lung), Prostate - Urothelial cells, Skin - Keratinocyte (other)"									HPA028660	Approved		Approved	"Cell Junctions"			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 12: Non-specific - Vasculature"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"		"Cell Junctions"		"HPA028660: AB_10602139"	"unprognostic (3.12e-2)"	"unprognostic (1.91e-1)"		"unprognostic (3.74e-2)"	"unprognostic (1.68e-1)"	"unprognostic (2.19e-2)"		"unprognostic (1.55e-1)"	"unprognostic (8.99e-2)"	"unprognostic (7.01e-2)"					"unprognostic (1.11e-1)"	"unprognostic (2.22e-1)"	"unprognostic (1.53e-1)"	"unprognostic (1.85e-1)"	"unprognostic (3.28e-1)"			"unprognostic (1.67e-2)"	"unprognostic (3.26e-2)"		"unprognostic (7.27e-2)"	"unprognostic (4.07e-2)"		"unprognostic (1.12e-1)"	"unprognostic (3.47e-1)"		
HCRTR1	"ORXR1, OX1R, OXR1"	ENSG00000121764	"Hypocretin receptor 1"	O43613	1	31617686-31632518	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"adrenal gland: 1.1"	"Cell type enriched"	"Detected in single"	4	"Late spermatids: 4.4"	"Cell type enhanced"	"Detected in some"		"CGE interneuron: 4.4"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adrenal gland - Adrenal medulla cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA014018	Approved						NA	NA				"Cluster 54: Non-specific - Basic cellular processes"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 54: Non-specific - Transcription"	"Cluster 63: Late spermatids - Spermatogenesis"	2			"HPA014018: AB_1854810"																															
HCRTR2	"ORXR2, OX2R, OXR2"	ENSG00000137252	"Hypocretin receptor 2"	O43614	6	55106460-55282617	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 11.3;Inhibitory neurons: 17.6;Peritubular cells: 4.4"	"Cell type enhanced"	"Detected in many"		"cerebellar inhibitory: 120.7;deep-layer corticothalamic and 6b: 132.2;LAMP5-LHX6 and Chandelier: 186.6;lower rhombic lip: 211.5"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"cervical cancer: 1.0"	"Pituitary gland - Gonadotropes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA054516, HPA070481"	Enhanced		Supported	"Nucleoplasm,Plasma membrane"			NA	NA					"Cluster 49: Hindbrain - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 65: Neurons - Synaptic function"	1	"Plasma membrane"	Nucleoplasm	"HPA054516: AB_2682513, HPA070481: "																															
HRH1		ENSG00000196639	"Histamine receptor H1"	P35367	3	11137093-11263557	"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 31.6;Excitatory neurons: 33.5;Glandular and luminal cells: 39.2;Granulosa cells: 43.7;Secretory cells: 62.8"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Liver - Kupffer cells, Spleen - Macrophages, Thyroid gland - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA029740	Uncertain		Supported	"Plasma membrane,Cytosol"			NA	NA				"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 51: Neurons - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 37: Glandular & Luminal cells - Unknown function"	1	"Plasma membrane"	Cytosol	"HPA029740: AB_10601578"	"unprognostic (1.64e-1)"	"unprognostic (1.81e-2)"	"unprognostic (1.87e-1)"	"unprognostic (4.47e-2)"	"unprognostic (4.87e-2)"	"unprognostic (8.40e-2)"	"unprognostic (1.89e-2)"	"unprognostic (1.07e-2)"	"unprognostic (3.55e-2)"	"unprognostic (1.74e-3)"	"unprognostic (2.30e-1)"	"unprognostic (2.80e-1)"	"unprognostic (2.02e-1)"		"unprognostic (2.39e-1)"	"unprognostic (1.43e-3)"	"potential prognostic unfavorable (1.54e-5)"	"unprognostic (6.03e-2)"	"unprognostic (8.71e-2)"	"unprognostic (7.41e-3)"	"unprognostic (1.81e-2)"	"potential prognostic unfavorable (1.21e-4)"	"unprognostic (7.38e-3)"	"unprognostic (1.32e-1)"	"unprognostic (2.02e-3)"	"unprognostic (5.31e-2)"	"unprognostic (2.04e-1)"	"unprognostic (7.64e-2)"		"unprognostic (1.66e-1)"	"unprognostic (7.02e-2)"
HRH2		ENSG00000113749	"Histamine receptor H2"	P25021	5	175658030-175710756	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 26.9;heart muscle: 25.5"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 42.9;Excitatory neurons: 60.1;Hofbauer cells: 28.8;Kupffer cells: 38.0;Macrophages: 43.7;Oocytes: 23.5;Smooth muscle cells: 34.0"	"Cell type enhanced"	"Detected in many"		"medium spiny neuron: 176.5"	"Cancer enhanced"	"Detected in many"		"Kidney Renal Clear Cell Carcinoma (TCGA): 22.8"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"basophil: 106.4;neutrophil: 141.7"	"Group enriched"	"Detected in many"	5	"granulocytes: 141.7;monocytes: 40.9"	"Cancer enhanced"	"Detected in some"		"Leukemia: 7.1;Myeloma: 3.5;skin cancer: 3.7"	"Liver - Neutrophils, Lung - Neutrophil_2, Pituitary gland - Macrophages, Spleen - Neutrophils, Stomach - Parietal cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA013770	Approved						NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 81: Lymphoid tissue & Bone marrow - Innate immune response"	"Cluster 53: Neurons - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 48: Smooth muscle cells - Signal transduction"				"HPA013770: AB_1851086"	"unprognostic (2.74e-2)"	"unprognostic (1.48e-1)"	"unprognostic (3.71e-2)"	"unprognostic (1.04e-1)"		"unprognostic (4.47e-2)"	"unprognostic (3.30e-3)"	"unprognostic (1.88e-1)"	"unprognostic (1.58e-1)"	"unprognostic (1.41e-3)"	"potential prognostic favorable (3.05e-5)"	"unprognostic (4.16e-2)"	"unprognostic (7.43e-2)"			"unprognostic (3.57e-2)"	"unprognostic (1.93e-2)"	"unprognostic (4.60e-2)"	"unprognostic (1.95e-1)"	"unprognostic (8.92e-3)"		"unprognostic (2.57e-2)"	"unprognostic (3.27e-2)"	"unprognostic (2.35e-2)"		"unprognostic (1.56e-1)"	"unprognostic (9.43e-2)"	"unprognostic (3.20e-2)"	"unprognostic (4.75e-2)"		"unprognostic (1.24e-1)"
HRH3	GPCR97	ENSG00000101180	"Histamine receptor H3"	Q9Y5N1	20	62214960-62220278	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	27	"brain: 54.1"	"Group enriched"	"Detected in some"	4	"Horizontal cells: 15.7;Inhibitory neurons: 22.7"	"Cell type enhanced"	"Detected in many"		"cerebellar inhibitory: 122.0"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	5	"lung cancer: 5.0;Neuroblastoma: 9.3"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 38: Sub-cortical - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 69: Neurons - Neuronal signaling"	1																																		
HRH4	"AXOR35, GPCR105, GPRv53, H4R, HH4R"	ENSG00000134489	"Histamine receptor H4"	Q9H3N8	18	24460637-24479961	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Cell type enhanced"	"Detected in some"		"granulocytes: 5.1;Langerhans cells: 1.1;Melanocytes: 1.7;Spermatocytes: 1.1"	"Low cell type specificity"	"Detected in some"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	123	"basophil: 212.9;eosinophil: 61.3"	"Lineage enriched"	"Detected in many"	191	"granulocytes: 212.9"	"Not detected"	"Not detected"			"Skin - Mast cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			HPA035009	Uncertain						NA	NA			"Cluster 46: Basophils - Proteolysis"		"Cluster 48: Non-specific - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 30: Granulocytes - Unknown function"				"HPA035009: AB_10671507"																										"unprognostic (1.80e-2)"					
HTR1A	"5-HT1A, ADRB2RL1, ADRBRL1"	ENSG00000178394	"5-hydroxytryptamine receptor 1A"	P08908	5	63957874-63962507	"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Behavior	"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	11	"brain: 2.0;ovary: 1.4"	"Group enriched"	"Detected in some"	6	"Leydig cells: 6.4;Ovarian stromal cells: 2.3"	"Cell type enhanced"	"Detected in single"		"hippocampal CA1-3: 1.5"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	17	"Rhabdoid: 8.0"		"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA018073	Uncertain						NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 14: Neurons - Synaptic function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 6: Ovarian stromal cells - Transcription"	6			"HPA018073: AB_1856704"																															
